37,দুর্গাথান নামদাং বস্তি লাইনত কমিউনিটি হল নির্মাণৰ বাবদ,,,,100000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
38,নামদাং চাহ বাগিছা পুৰনা লাইনত জিৰণী চ'ৰা নিৰ্মাণৰ বাবদ,,,,100000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
39,নামদাং গোলাই গাওঁ দুধবালা বস্তিৰ Retaining Wall নির্মাণৰ বাবদ,,,,300000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
40,চিগনেল বস্তি শ্মশান জিৰণী চ'ৰা নিৰ্মাণৰ বাবদ,,,,150000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
41,ৰিংগাঁও কমিউনিটি হল নির্মাণৰ বাবদ,,,,150000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
42,লিডু গাঁও কমিউনিটি হল নির্মাণৰ বাবদ,,,,150000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
43,মৌংলাং গার্ড কমিউনিটি হল নির্মাণৰ বাবদ,,,,150000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
44,লিডু বজাৰ উদ্যান সংঘৰ নলা আৰু খেলপথাৰ উন্নয়নৰ বাবদ,,,,400000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
45,পচাবিল প্রাথমিক বিদ্যালয়ৰ শ্ৰেণীকোঠা নির্মাণৰ বাবদ,,,,400000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
46,"হাৱাইপথাৰ, খেলপথাৰ কমিউনিটি হল নির্মাণৰ বাবদ",,,,400000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
47,দিহিং পাটকাই খেলপথাৰ জিৰণী চ'ৰা নিৰ্মাণৰ বাবদ,,,,150000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
48,লেখাপানী ফৰেষ্ট গেট কমিউনিটি হল নির্মাণৰ বাবদ,,,,150000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
49,টিপংচালি হনুমান মন্দিৰ পকীবেৰ নিৰ্মাণৰ বাবদ,,,,100000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
50,৩নং উদয়পুৰ (বাৰেঘৰ) কমিউনিটি হল নির্মাণৰ বাবদ,,,,100000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
51,পূৱ-সীমান্ত হাইস্কুলৰ শ্ৰেণীকোঠা নির্মাণৰ বাবদ,,,,100000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
52,ৰামনগৰ নামঘৰ কমিউনিটি হল নির্মাণৰ বাবদ,,,,100000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
