"FORM 20 FINAL RESULT SHEET
ELECTION TO THE LEGISLATIVE ASSEMBLY
Total No. of Electors in Assembly Constituency/segment       240796 Name of Assembly/segment ...68-DALGAON Assembly Election",,,,,,,,,,,
Serial No. Of Polling Station,,No of Valid Votes Cast in favour of,,,,,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes
,,ILIAS ALI,MAZIBUR RAHMAN,HABIBAR RAHMAN,SAIFUL HOQUE,ARAB ALI,,,,,
58,49,172,285,7,3,5,472,0,2,474,0
59,49(A),164,277,0,1,1,443,0,3,446,0
60,50,411,499,6,3,0,919,0,2,921,0
61,51,457,460,7,11,4,939,0,4,943,0
62,52,269,342,4,5,1,621,0,7,628,0
63,53,461,472,6,5,2,946,0,3,949,0
64,54,206,309,0,7,3,525,0,5,530,0
65,54(A),175,337,3,0,1,516,0,1,517,0
66,55,265,461,7,5,0,738,0,3,741,0
67,56,307,538,6,4,3,858,0,9,867,0
68,57,389,373,10,7,11,790,0,4,794,0
69,58,152,375,4,0,1,532,0,1,533,0
70,58(A),223,223,3,2,0,451,0,4,455,0
71,59,171,351,5,6,0,533,0,1,534,0
72,59(A),158,297,1,1,2,459,0,0,459,0
73,60,159,414,7,4,0,584,0,2,586,0
74,60(A),231,302,5,1,0,539,0,1,540,0
75,61,216,323,15,5,2,561,0,3,564,0
76,61(A),189,324,12,2,0,527,0,3,530,0
77,62,407,487,27,5,5,931,0,4,935,0
78,63,303,466,6,4,3,782,0,10,792,0
79,64,328,350,3,5,3,689,0,4,693,0
80,65,294,417,5,5,1,722,0,1,723,0
81,66,223,367,9,10,8,617,0,11,628,0
82,67,210,545,13,4,2,774,0,9,783,0
83,68,288,415,10,14,5,732,0,7,739,0
84,69,217,539,8,3,2,769,0,7,776,0
85,70,103,375,5,2,0,485,0,2,487,0
86,71,250,352,6,3,0,611,0,5,616,0
87,71(A),163,382,15,6,8,574,0,3,577,0
88,72,220,642,17,8,10,897,0,1,898,0
89,73,122,469,8,4,1,604,0,0,604,0
90,74,184,410,9,9,2,614,0,9,623,0
91,75,139,588,13,3,1,744,0,3,747,0
92,76,165,518,5,9,1,698,0,4,702,0
93,77,226,588,2,9,2,827,0,8,835,0
94,78,157,590,6,7,1,761,0,11,772,0
95,79,132,329,261,14,9,745,0,12,757,0
96,80,102,113,207,12,9,443,0,15,458,0
97,81,214,126,355,13,12,720,0,10,730,0
98,82,101,173,243,7,9,533,0,15,548,0
99,83,73,62,175,2,2,314,0,8,322,0
100,84,180,114,306,12,88,700,0,20,720,0
101,85,27,20,221,8,5,281,0,13,294,0
102,86,146,650,7,8,4,815,0,0,815,0
103,87,348,577,5,9,1,940,0,3,943,0
104,88,411,436,4,5,2,858,0,6,864,0
105,89,282,159,20,5,0,466,0,5,471,0
106,89(A),175,319,6,2,1,503,0,2,505,0
107,90,179,510,7,3,3,702,0,1,703,0
108,90(A),130,429,2,2,1,564,0,1,565,0
109,91,286,447,20,8,1,762,0,6,768,0
110,92,74,148,168,7,43,440,0,3,443,0
111,93,65,442,12,3,1,523,0,0,523,0
112,94,245,284,7,1,1,538,0,0,538,0
113,94(A),177,230,3,5,4,419,0,4,423,0
114,95,219,582,10,3,3,817,0,3,820,0
115,96,119,424,4,3,3,553,0,7,560,0
116,96(A),242,298,6,6,2,554,0,5,559,0
117,97,224,332,5,2,0,563,0,8,571,0
118,97(A),234,284,6,6,2,532,0,5,537,0
119,98,304,266,141,17,11,739,0,7,746,0
120,99,192,90,202,11,10,505,0,14,519,0
121,100,192,159,199,3,6,559,0,8,567,0
